section,section_display,method,threshold,n_iso_accuracy_pairs,median_pairwise_partition_ari,minimum_pairwise_partition_ari,n_partition_ari_below_0_50,fraction_partition_ari_below_0_50
151507,151507,GraphST,0.01,60,0.4780212807,0.3482544384,36,0.6
151507,151507,GraphST,0.02,113,0.4786009414,0.3478162928,69,0.610619469
151507,151507,GraphST,0.03,150,0.4696487754,0.3478162928,100,0.6666666667
151507,151507,STAGATE,0.01,54,0.8298181897,0.5455214479,0,0.0
151507,151507,STAGATE,0.02,80,0.8267292441,0.3221471531,2,0.025
151507,151507,STAGATE,0.03,95,0.811605908,0.3221471531,2,0.02105263158
151507,151507,SpaGCN,0.01,22,0.6589606154,0.3853995827,2,0.09090909091
151507,151507,SpaGCN,0.02,45,0.6342417094,0.3853995827,4,0.08888888889
151507,151507,SpaGCN,0.03,61,0.6145522405,0.3853995827,7,0.1147540984
151507,151507,BANKSY,0.01,55,0.9904788441,0.4811928676,1,0.01818181818
151507,151507,BANKSY,0.02,58,0.9904788441,0.4811928676,1,0.01724137931
151507,151507,BANKSY,0.03,64,0.9711585506,0.4481507162,4,0.0625
151507,151507,SEDR,0.01,30,0.671435550265,0.5250704458939999,0,0.0
151507,151507,SEDR,0.02,73,0.6780374839899999,0.524002763054,0,0.0
151507,151507,SEDR,0.03,107,0.682225265893,0.493165068629,1,0.00934579439252
151508,151508,GraphST,0.01,23,0.548638987,0.4151052114,7,0.3043478261
151508,151508,GraphST,0.02,50,0.5275968676,0.359746379,19,0.38
151508,151508,GraphST,0.03,77,0.5270427488,0.3548425051,32,0.4155844156
151508,151508,STAGATE,0.01,42,0.8356086154,0.6438218351,0,0.0
151508,151508,STAGATE,0.02,51,0.8270596593,0.6438218351,0,0.0
151508,151508,STAGATE,0.03,58,0.81296781,0.5778487313,0,0.0
151508,151508,SpaGCN,0.01,26,0.4546314189,0.3448073146,18,0.6923076923
151508,151508,SpaGCN,0.02,55,0.464516366,0.3448073146,34,0.6181818182
151508,151508,SpaGCN,0.03,80,0.4650073887,0.3340404882,50,0.625
151508,151508,BANKSY,0.01,30,0.8502539109,0.383366007,3,0.1
151508,151508,BANKSY,0.02,50,0.8027100977,0.383366007,4,0.08
151508,151508,BANKSY,0.03,53,0.8008093944,0.3774281581,6,0.1132075472
151508,151508,SEDR,0.01,49,0.733963123813,0.636787812029,0,0.0
151508,151508,SEDR,0.02,90,0.732713546312,0.525198972355,0,0.0
151508,151508,SEDR,0.03,119,0.7328358890549999,0.492885678799,1,0.00840336134454
151509,151509,GraphST,0.01,22,0.5255377675,0.3869379326,8,0.3636363636
151509,151509,GraphST,0.02,56,0.4986643004,0.3213692626,29,0.5178571429
151509,151509,GraphST,0.03,80,0.4888895238,0.3049093779,44,0.55
151509,151509,STAGATE,0.01,55,0.9025931098,0.6465671805,0,0.0
151509,151509,STAGATE,0.02,89,0.8998965078,0.6465671805,0,0.0
151509,151509,STAGATE,0.03,106,0.8985604529,0.6465671805,0,0.0
151509,151509,SpaGCN,0.01,31,0.5414900996,0.4208105138,6,0.1935483871
151509,151509,SpaGCN,0.02,69,0.5416672163,0.4208105138,16,0.231884058
151509,151509,SpaGCN,0.03,97,0.5399305168,0.4208105138,25,0.2577319588
151509,151509,BANKSY,0.01,37,0.9797480536,0.4864797503,2,0.05405405405
151509,151509,BANKSY,0.02,43,0.9780040936,0.4864797503,2,0.04651162791
151509,151509,BANKSY,0.03,61,0.948230284,0.3812590784,4,0.06557377049
